Env,Algorithm,Seed,Shift_Condition,Success_Rate,Mean_Return,Representation_Distance
MultiStageNavigation-v0,PPO_Standard,100,Clean,0.0,144.67898401328495,0.0
MultiStageNavigation-v0,PPO_Standard,100,Noise_Low,0.0,144.95199518669222,9.117087364196777
MultiStageNavigation-v0,PPO_Standard,100,Noise_High,0.0,142.02146782114391,6.672509670257568
MultiStageNavigation-v0,PPO_Standard,100,Distractor_1,0.0,139.99341844252177,6.274989604949951
MultiStageNavigation-v0,PPO_Standard,100,Distractor_3,0.04,102.09842435990058,22.75015640258789
MultiStageNavigation-v0,PPO_Standard,100,Viewpoint_15deg,0.0,140.53954950718654,8.875411033630371
MultiStageNavigation-v0,PPO_Standard,100,Viewpoint_30deg,0.02,136.8035560097013,8.626419067382812
MultiStageNavigation-v0,PPO_Standard,100,Occlusion_15pct,0.0,130.45673962059473,8.231965065002441
MultiStageNavigation-v0,PPO_Standard,100,Blur_K7,0.0,144.7828457827795,5.350526332855225
MultiStageNavigation-v0,PPO_Standard,100,Compound_Level2,0.02,100.00795725584032,15.726237297058105
MultiStageNavigation-v0,PPO_Standard,100,Compound_Level4,0.02,97.85370479061487,20.622802734375
MultiStageNavigation-v0,DataAugmented_PPO,0,Clean,0.0,109.22247926008131,0.0
MultiStageNavigation-v0,DataAugmented_PPO,0,Noise_Low,0.0,107.69629832074753,2.1911299228668213
MultiStageNavigation-v0,DataAugmented_PPO,0,Noise_High,0.0,107.05633648940494,8.859991073608398
MultiStageNavigation-v0,DataAugmented_PPO,0,Distractor_1,0.0,102.23119248242605,2.933410406112671
MultiStageNavigation-v0,DataAugmented_PPO,0,Distractor_3,0.04,94.32549323292005,16.873498916625977
MultiStageNavigation-v0,DataAugmented_PPO,0,Viewpoint_15deg,0.0,104.91992979492457,3.5387184619903564
MultiStageNavigation-v0,DataAugmented_PPO,0,Viewpoint_30deg,0.0,102.1887293585141,5.270516872406006
MultiStageNavigation-v0,DataAugmented_PPO,0,Occlusion_15pct,0.0,80.91964655183612,18.011995315551758
MultiStageNavigation-v0,DataAugmented_PPO,0,Blur_K7,0.0,118.20246674617128,8.999186515808105
MultiStageNavigation-v0,DataAugmented_PPO,0,Compound_Level2,0.12,88.44570747770014,14.369872093200684
MultiStageNavigation-v0,DataAugmented_PPO,0,Compound_Level4,0.16,87.65809054556348,15.207603454589844
MultiStageNavigation-v0,DataAugmented_PPO,42,Clean,0.02,129.58407162586846,0.0
MultiStageNavigation-v0,DataAugmented_PPO,42,Noise_Low,0.02,126.42020759872024,4.613857746124268
MultiStageNavigation-v0,DataAugmented_PPO,42,Noise_High,0.0,93.29828974008558,17.4688663482666
MultiStageNavigation-v0,DataAugmented_PPO,42,Distractor_1,0.02,106.00094901326155,5.85817813873291
MultiStageNavigation-v0,DataAugmented_PPO,42,Distractor_3,0.08,82.34943076619082,23.27510643005371
MultiStageNavigation-v0,DataAugmented_PPO,42,Viewpoint_15deg,0.02,123.97343000326836,6.5117597579956055
MultiStageNavigation-v0,DataAugmented_PPO,42,Viewpoint_30deg,0.02,117.86201185714629,17.47068214416504
MultiStageNavigation-v0,DataAugmented_PPO,42,Occlusion_15pct,0.02,111.44441774266105,28.665063858032227
MultiStageNavigation-v0,DataAugmented_PPO,42,Blur_K7,0.0,134.96446294988903,20.721088409423828
MultiStageNavigation-v0,DataAugmented_PPO,42,Compound_Level2,0.1,77.8181152293228,26.9832706451416
MultiStageNavigation-v0,DataAugmented_PPO,42,Compound_Level4,0.04,77.77197827730858,41.71874237060547
MultiStageNavigation-v0,DataAugmented_PPO,100,Clean,0.0,152.71954865262623,0.0
MultiStageNavigation-v0,DataAugmented_PPO,100,Noise_Low,0.0,153.75774360225313,5.545036792755127
MultiStageNavigation-v0,DataAugmented_PPO,100,Noise_High,0.0,149.2435370712053,12.3748140335083
MultiStageNavigation-v0,DataAugmented_PPO,100,Distractor_1,0.02,138.87135540360498,4.336971759796143
MultiStageNavigation-v0,DataAugmented_PPO,100,Distractor_3,0.1,90.30737210302128,16.796367645263672
MultiStageNavigation-v0,DataAugmented_PPO,100,Viewpoint_15deg,0.0,153.00433095750356,7.485318183898926
MultiStageNavigation-v0,DataAugmented_PPO,100,Viewpoint_30deg,0.0,151.24187915291108,6.156075477600098
MultiStageNavigation-v0,DataAugmented_PPO,100,Occlusion_15pct,0.02,140.39655124641604,8.279096603393555
MultiStageNavigation-v0,DataAugmented_PPO,100,Blur_K7,0.0,155.5780514965739,14.726277351379395
MultiStageNavigation-v0,DataAugmented_PPO,100,Compound_Level2,0.16,92.56381959180038,19.11405372619629
MultiStageNavigation-v0,DataAugmented_PPO,100,Compound_Level4,0.18,89.12591230768535,14.396886825561523
