Shift_Condition,Augmentation,Rep_Distance,Proxy_Rank,Mean_Return,GT_Rank
Distractor_1,Color_Jitter_High,48.93604278564453,11,-141.9258663635406,2
Distractor_1,Color_Jitter_Med,59.28066635131836,12,-141.92790507702605,3
Distractor_1,Color_Jitter_Low,59.885040283203125,13,-141.92468853488802,1
Distractor_3,Blur_K7,4.5305657386779785,1,-141.94555075698435,13
Distractor_3,Blur_K5,7.259217739105225,2,-141.94555075698435,12
Distractor_3,Blur_K3,10.459970474243164,3,-141.94555075698435,11
Distractor_3,Random_Shift_Low,13.839591026306152,4,-141.94555075698435,5
Distractor_3,Cutout_Low,13.850791931152344,5,-141.94555075698435,8
Distractor_3,Cutout_Med,14.058229446411133,6,-141.94555075698435,9
Distractor_3,Cutout_High,14.555691719055176,7,-141.94555075698435,10
Distractor_3,Random_Shift_High,14.561668395996094,8,-141.94555075698435,7
Distractor_3,No_Augmentation,14.912606239318848,9,-141.94555075698435,3
Distractor_3,Random_Shift_Med,16.355648040771484,10,-141.94555075698435,6
Distractor_3,Color_Jitter_High,39.81788635253906,11,-141.94201185476217,2
Distractor_3,Color_Jitter_Low,44.65258026123047,12,-141.94555075698435,4
Distractor_3,Color_Jitter_Med,46.7880973815918,13,-141.94106749920624,1
Viewpoint_15deg,Cutout_Low,0.390384703874588,1,-141.94555075698435,8
Viewpoint_15deg,Random_Shift_Med,0.48316970467567444,2,-141.94555075698435,6
Viewpoint_15deg,Cutout_Med,0.5061489939689636,3,-141.94555075698435,9
Viewpoint_15deg,Random_Shift_High,0.772390604019165,4,-141.94555075698435,7
Viewpoint_15deg,No_Augmentation,1.0270112752914429,5,-141.94555075698435,4
Viewpoint_15deg,Random_Shift_Low,1.0414952039718628,6,-141.94555075698435,5
Viewpoint_15deg,Blur_K3,2.4310925006866455,7,-141.94555075698435,11
Viewpoint_15deg,Cutout_High,3.0349206924438477,8,-141.94555075698435,10
Viewpoint_15deg,Blur_K5,3.6712350845336914,9,-141.94555075698435,12
Viewpoint_15deg,Blur_K7,4.917538166046143,10,-141.94555075698435,13
Viewpoint_15deg,Color_Jitter_High,49.36390686035156,11,-141.912521298348,3
Viewpoint_15deg,Color_Jitter_Med,61.09257125854492,12,-141.91110961134478,2
Viewpoint_15deg,Color_Jitter_Low,67.76456451416016,13,-141.80290012283933,1
Viewpoint_30deg,Cutout_Med,0.3646703064441681,1,-141.94555075698435,9
Viewpoint_30deg,Random_Shift_High,0.5856361389160156,2,-141.94555075698435,7
Viewpoint_30deg,Cutout_Low,0.59904545545578,3,-141.94555075698435,8
Viewpoint_30deg,Random_Shift_Low,0.9002208709716797,4,-141.94555075698435,5
Viewpoint_30deg,No_Augmentation,0.9437713623046875,5,-141.94555075698435,4
Viewpoint_30deg,Random_Shift_Med,1.136268973350525,6,-141.94555075698435,6
Viewpoint_30deg,Blur_K3,2.0602147579193115,7,-141.94555075698435,11
Viewpoint_30deg,Cutout_High,2.8494372367858887,8,-141.94555075698435,10
Viewpoint_30deg,Blur_K5,3.9892404079437256,9,-141.94555075698435,12
Viewpoint_30deg,Blur_K7,4.5570173263549805,10,-141.94555075698435,13
